GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01523,01523,"ZIP 01523 (Lancaster, MA)",00,Total for all sectors,2010,111,1738,17475,69966
8610000US01524,01524,"ZIP 01524 (Leicester, MA)",00,Total for all sectors,2010,103,1502,11546,57613
8610000US01525,01525,"ZIP 01525 (Linwood, MA)",00,Total for all sectors,2010,25,266,2459,10913
8610000US01526,01526,"ZIP 01526 (Manchaug, MA)",00,Total for all sectors,2010,15,74,612,2560
8610000US01527,01527,"ZIP 01527 (Millbury, MA)",00,Total for all sectors,2010,278,4233,29586,133778
8610000US01529,01529,"ZIP 01529 (Millville, MA)",00,Total for all sectors,2010,36,81,436,2052
8610000US01531,01531,"ZIP 01531 (New Braintree, MA)",00,Total for all sectors,2010,19,31,S,859
8610000US01532,01532,"ZIP 01532 (Northborough, MA)",00,Total for all sectors,2010,445,5904,64799,265954
8610000US01534,01534,"ZIP 01534 (Northbridge, MA)",00,Total for all sectors,2010,59,656,4732,22935
8610000US01535,01535,"ZIP 01535 (North Brookfield, MA)",00,Total for all sectors,2010,75,778,6635,29577
8610000US01536,01536,"ZIP 01536 (North Grafton, MA)",00,Total for all sectors,2010,149,1696,17423,84045
8610000US01537,01537,"ZIP 01537 (North Oxford, MA)",00,Total for all sectors,2010,58,680,5548,24368
8610000US01538,01538,"ZIP 01538 (North Uxbridge, MA)",00,Total for all sectors,2010,17,95,595,2605
8610000US01540,01540,"ZIP 01540 (Oxford, MA)",00,Total for all sectors,2010,231,3113,25859,121829
8610000US01541,01541,"ZIP 01541 (Princeton, MA)",00,Total for all sectors,2010,75,990,3959,17167
8610000US01542,01542,"ZIP 01542 (Rochdale, MA)",00,Total for all sectors,2010,34,454,4179,16943
8610000US01543,01543,"ZIP 01543 (Rutland, MA)",00,Total for all sectors,2010,119,804,5739,26055
8610000US01545,01545,"ZIP 01545 (Shrewsbury, MA)",00,Total for all sectors,2010,783,10174,87192,374595
8610000US01550,01550,"ZIP 01550 (Southbridge, MA)",00,Total for all sectors,2010,364,4820,44753,184060
8610000US01560,01560,"ZIP 01560 (South Grafton, MA)",00,Total for all sectors,2010,55,270,2293,11737
8610000US01561,01561,"ZIP 01561 (South Lancaster, MA)",00,Total for all sectors,2010,34,900,5873,25501
8610000US01562,01562,"ZIP 01562 (Spencer, MA)",00,Total for all sectors,2010,225,2639,24377,103726
8610000US01564,01564,"ZIP 01564 (Sterling, MA)",00,Total for all sectors,2010,184,2171,21068,87164
8610000US01566,01566,"ZIP 01566 (Sturbridge, MA)",00,Total for all sectors,2010,235,3425,22108,98816
8610000US01568,01568,"ZIP 01568 (Upton, MA)",00,Total for all sectors,2010,156,773,5285,27564
8610000US01569,01569,"ZIP 01569 (Uxbridge, MA)",00,Total for all sectors,2010,248,2463,21210,104205
8610000US01570,01570,"ZIP 01570 (Webster, MA)",00,Total for all sectors,2010,355,6002,70437,240883
8610000US01571,01571,"ZIP 01571 (Dudley, MA)",00,Total for all sectors,2010,160,2175,17782,75441
8610000US01580,01580,"ZIP 01580 (Westborough, MA)",00,Total for all sectors,2010,9,484,2011,46855
8610000US01581,01581,"ZIP 01581 (Westborough, MA)",00,Total for all sectors,2010,887,19560,249668,1060358
8610000US01582,01582,"ZIP 01582 (Westborough, MA)",00,Total for all sectors,2010,5,g,D,D
8610000US01583,01583,"ZIP 01583 (West Boylston, MA)",00,Total for all sectors,2010,240,2370,18614,82080
8610000US01585,01585,"ZIP 01585 (West Brookfield, MA)",00,Total for all sectors,2010,87,728,5341,23501
8610000US01588,01588,"ZIP 01588 (Whitinsville, MA)",00,Total for all sectors,2010,203,2846,21652,92590
8610000US01590,01590,"ZIP 01590 (Sutton, MA)",00,Total for all sectors,2010,161,1711,15006,69166
8610000US01601,01601,"ZIP 01601 (Worcester, MA)",00,Total for all sectors,2010,14,271,2301,10045
8610000US01602,01602,"ZIP 01602 (Worcester, MA)",00,Total for all sectors,2010,280,2714,18002,82269
8610000US01603,01603,"ZIP 01603 (Worcester, MA)",00,Total for all sectors,2010,383,6779,46680,197631
8610000US01604,01604,"ZIP 01604 (Worcester, MA)",00,Total for all sectors,2010,675,10300,88927,387618
8610000US01605,01605,"ZIP 01605 (Worcester, MA)",00,Total for all sectors,2010,565,24756,344202,1449231
8610000US01606,01606,"ZIP 01606 (Worcester, MA)",00,Total for all sectors,2010,441,8985,98434,443108
8610000US01607,01607,"ZIP 01607 (Worcester, MA)",00,Total for all sectors,2010,133,2588,18667,82012
8610000US01608,01608,"ZIP 01608 (Worcester, MA)",00,Total for all sectors,2010,558,10341,147078,592703
